NAME	ADDRESS	DISTRICT	NUMBER	CATEGORY	COMMENTS	USED IN CASE	
Hawkins, L	11SE	SE	11			6	
Haxell’s Restaurant	19NW	NW	19				
Haymarket	4SW	SW	4				
Haymarket Theatre	4SW	SW	4				
Hazen, Milly	23S	S	23				
Heathcliff, August	53SW	SW	53			9	
Heatherington, Peter	90NW	NW	90				
Helford, Jack	25S	S	25				
Helwig, Gertrude	74EC	EC	74				
Hendry, Terrence	7SE	SE	7				
Henekey’s Wine Lodge	10WC	WC	10				
Hengler’s Circus	47WC	WC	47				
Hennessy, Patrick	75SE	SE	75				
Henriquez, Maribel	10S	S	10				
Henry Whitlock Co	61EC	EC	61				
Hensley, Quentin	82SE	SE	82				
Herne & Sons Ltd	59E	E	59				
Hickman, W	79NW	NW	79				
Higgins, Henry	34NW	NW	34		Character from the play Pygmalion	1	
Hill, Inspector	1EC	EC	1				
Hill, Thomas	75E	E	75				
Hinshaw, T. S.	80NW	NW	80				
Hitchcock, Francois	54WC	WC	54				
Hoare, F	25SE	SE	25				
Hoby & Gullick	89SW	SW	89		Corrected from "Hoby & Gullock"		
Hoch’s Pawnshop	26E	E	26				
Hodgson’s	32WC	WC	32				
Hogan, Patrick	77E	E	77				
Hogg, Quintin	35EC	EC	35				
Holbein, Hans	84SE	SE	84		German		
Holborn Restaurant	61EC	EC	61				
Holden Brothers	80NW	NW	80				
Holder & Stevenson	69EC	EC	69				
Holder, Alexander	40SW	SW	40				
Holder, Arthur	1SW	SW	1				
Holder, Mary	34NW	NW	34				
Hollis, V	11E	E	11				
Holmes, Mrs. Basil	58SW	SW	58				
Holmes, Mycroft	8SW	SW	8				
Holmes, Sherlock	42NW	NW	42				
Holywell, Fran	71WC	WC	71				
Hood, Sir Tyrone	94NW	NW	94				
Hook, Knowles & Co	56WC	WC	56				
Hope, Lady Hilda	2EC	EC	2			1	
Hope, Jefferson	73WC	WC	73				
Hope, Rt. Hon Trelawney	2EC	EC	2				
Hopkins, Insp. Stanley	18SE	SE	18				
Hopwood, Nancy	83E	E	83				
Horowitz, Dr. J	9S	S	9				
Horrell, Jack	78E	E	78				
Hosoya, Emiko	82NW	NW	82		Asian		
Charing Cross	91WC	WC	91	HOSPITALS			
Chelsea Hospital	45SW	SW	45	HOSPITALS			
King’s College	71WC	WC	71	HOSPITALS			
London Hospital	92E	E	92	HOSPITALS			
Middlesex Hospital	10NW	NW	10	HOSPITALS			
Royal Greenwich Hosp	65S	S	65	HOSPITALS	"Royal Greenwich Hospital"		
St. Bartholomew’s	38EC	EC	38	HOSPITALS			
St. George Hospital	57SW	SW	57	HOSPITALS			
St. Thomas Hospital	29SE	SE	29	HOSPITALS			
Hossain, Zahid	72WC	WC	72		Arabic		
Hossainkhail, Abdul	67SW	SW	67		Arabic		
Hostinsky, Eugene	75EC	EC	75				
Bentley’s Private	32WC	WC	32	HOTELS	"Bentley’s Private Hotel"		
Bridge House Hotel	3SE	SE	3	HOTELS			
Charing Cross Hotel	90WC	WC	90	HOTELS			
Claridge’s Hotel	30NW	NW	30	HOTELS			
Dacre Hotel	62EC	EC	62	HOTELS			
De Keyser’s Royal Hotel	31EC	EC	31	HOTELS			
Grand Hotel	22WC	WC	22	HOTELS			
Grosvenor Hotel	69SW	SW	69	HOTELS			
Halliday’s Private	15SW	SW	15	HOTELS	"Halliday’s Private Hotel"		
Hotel Cosmopolitan	71SW	SW	71	HOTELS	No matching crossreference.		
Langham Hotel	36NW	NW	36	HOTELS			
Metropole Hotel	27WC	WC	27	HOTELS			
Metropolitan Hotel	10EC	EC	10	HOTELS			
Mexborough Private	76EC	EC	76	HOTELS			
Midland Grand Hotel	16SE	SE	16	HOTELS			
Piccadilly Hotel	26NW	NW	26	HOTELS			
St. Pancras Hotel	48WC	WC	48	HOTELS			
Tranter’s Temperance	70EC	EC	70	HOTELS			
Hotherstone, Fergus	75SW	SW	75				
Howell & James Ltd	48SE	SE	48				
Hudson, Martha	20SE	SE	20				
Hudson, Mrs	42NW	NW	42				
Hughes, Clarence	85E	E	85				
Hunt, Stephanie	92NW	NW	92				
Hunter, M. T.	81EC	EC	81				
Huntington & Forbush	89SE	SE	89				
Hyde Park	95NW	NW	95				
Hynds, Margret	73E	E	73				
I. K. A. Society	77EC	EC	77				
Ibbotson, Fred	40E	E	40				
Icardi, Angelo	74E	E	74		Italian		
Iden, Belle	77E	E	77				
Idler, Eric	84NW	NW	84				
Ifft, Eleanor	76SW	SW	76				
Iger, Osbert	12S	S	12				
Illman, Jonas	26EC	EC	26				
Imhoff, Vasili	74WC	WC	74		Russian		
Immelman & Wing	83E	E	83				
Indigent Blind Vis. Soc	11WC	WC	11		Refers to "Indigent Blind Visiting Society" See: http://www.ucl.ac.uk/bloomsbury-project/institutions/blind_indigent.htm		
Ingalls, Donna	12WC	WC	12				
Ingersoll, Amy	84NW	NW	84				
Ingram, Judson	76EC	EC	76				
Ingram, Mary	5NW	NW	5				
Inner Temple	33EC	EC	33				
Innes, Deborah	76E	E	76				
Alpha Inn	65WC	WC	65	INNS			
Bishop’s Finger Inn	18EC	EC	18	INNS			
Black Crown	88EC	EC	88	INNS			
Blue Ball Inn	50E	E	50	INNS			
Crown Inn	83NW	NW	83	INNS			
George & Vulture	93WC	WC	93	INNS			
Raven & Rat Inn	52EC	EC	52	INNS			
Red Boar Inn	34SE	SE	34	INNS			
Serjeant’s Inn	21NW	NW	21	INNS			
Spaniard’s Inn	25SW	SW	25	INNS			
Staple Inn	35WC	WC	35	INNS			
Star & Plow	73E	E	73	INNS			
Ye Old Cheshire Cheese	34EC	EC	34	INNS			
Gray’s Inn	10WC	WC	10	INNS OF COURT			
Lincoln’s Inn	13WC	WC	13	INNS OF COURT			
Temple, The	33EC	EC	33	INNS OF COURT			
Inquisition	5S	S	5				
Insani, Viola	80EC	EC	80				
Lloyd’s Shipping Reg	17EC	EC	17	INSURANCE COMPANIES	"Lloyd’s Shipping Register"		
London & Globe	79SW	SW	79	INSURANCE COMPANIES			
Pearl Assurance Co	86EC	EC	86	INSURANCE COMPANIES			
Provident	68EC	EC	68	INSURANCE COMPANIES			
Royal Insurance Co	68NW	NW	68	INSURANCE COMPANIES			
Invalid Ladies Est	92NW	NW	92		(Charities)		
Inwald, Frank	33E	E	33				
Ireton, David	79EC	EC	79				
Irish Social Club	8SE	SE	8				
Iron Dyke Co	73SE	SE	73				
Irving, Henry	50WC	WC	50				
Irwin, E	5SE	SE	5				
Irwin, Sam	29S	S	29				
Isaacs Ltd	85E	E	85				
Isaacs, Paul	78EC	EC	78				
Isak, Bill	81E	E	81				
Isenberg & Goldstein	51E	E	51				
Isinger, Kenneth	80E	E	80				
Ito, Naoko	81E	E	81		Asian		
Ivanoff, Victor	26SE	SE	26		Russian		
Iverson, Dan	80E	E	80				
Ivie, Lewis	78SW	SW	78				
Ivory, Edward	41NW	NW	41			7	
Ivy Plant Pub	76SW	SW	76				
Ivy, Dana	12SE	SE	12				
Ivy, Morgan	85NW	NW	85				
Izard, Lyman	83SW	SW	83			13	
Izzo, Alberto	82E	E	82				
J. & E. Bumpus	12NW	NW	12		(Booksellers)		
J. J. Goldstein	41E	E	41				
J. Offord Co	82NW	NW	82		(Stables)		
J. Small & Co	32SE	SE	32				
J. W. Benson Ltd	17NW	NW	17				
Jaber, Yolanda	79SW	SW	79				
Jabez Wilson’s Pawnshop	73EC	EC	73				
Jackson, Dr.	64EC	EC	64				
Jackson, T. Ebenezer	75WC	WC	75				
Jackson’s Yard	1S	S	1				
Jackstraw & Co	11E	E	11				
Jacobs, Israel	53EC	EC	53			11	
Jaeger, Adolph	46SE	SE	46		German		
Jaffe, Willard	26SE	SE	26				
Jagis, Inez	75E	E	75				
Jain, Valeria	78SW	SW	78				
Jakeways, Gail	38S	S	38				
Jamaica Winehouse	97EC	EC	97				
Jamal, Omar	45SE	SE	45		Arabic		
Jamieson, Frank	39EC	EC	39				
Jamieson, Martha	39EC	EC	39				
Janas, Eva	76WC	WC	76				
Jann, Edmund	47E	E	47				
Japes, William	77EC	EC	77		Listed as 39EC under SOLICITORS (office)		
Jaquard, Roland	40NW	NW	40			7	
Jardine, Matheson & Co	15EC	EC	15				
Jarett, Loren	42EC	EC	42				
Jarvis, Conrad	54E	E	54				
Jarvis, Mary	85SE	SE	85				
Jasper & Coleman	24SW	SW	24				
Jastrow, Konstantine	28NW	NW	28			7	
Jeffcoat, Zane	77WC	WC	77				
Jeffrey, Charley	43E	E	43				
Jeffries, Anne	77SW	SW	77				
Jeffs & Harris	24NW	NW	24				
Jenkel, Samson	45E	E	45				
Jenkins, Sir Edwin	68SW	SW	68				
Jenks & Ramsey	46EC	EC	46				
Jennings, Bryan	8NW	NW	8				
Jennings, Sadie	33S	S	33				
Jensen, Jack	6SE	SE	6				
Jerome, Jerome K	7EC	EC	7				
Jerrold, Robert	31SE	SE	31				
Jessup, Corinne	4S	S	4				
Jesuit Church	69EC	EC	69				
Jeter, Craig	76SE	SE	76				
Jetton, Sandy	23E	E	23				
A. Marx & Co	36SE	SE	36	JEWELERS			
Carrington & Co	33WC	WC	33	JEWELERS			
De Vries Diamond	34SW	SW	34	JEWELERS			
Gross & Hankey’s	90NW	NW	90	JEWELERS			
J. W. Benson Ltd	17NW	NW	17	JEWELERS			
Lambert’s	88SW	SW	88	JEWELERS			
Ortner & Houle	75WC	WC	75	JEWELERS			
R. S. Garrard & Co	44EC	EC	44	JEWELERS			
Rowlands & Frazier	40NW	NW	40	JEWELERS			
Jewett, Stole & Co	28S	S	28				
Jobe, Howard	77E	E	77				
John Taylor, Chemist	72NW	NW	72			9	
John Underwood, Hatters	91NW	NW	91				
Johnson, Boswell	94WC	WC	94				
Johnson, Leland	6NW	NW	6				
Johnson, Peter	19SE	SE	19				
Johnson, Shinwell	52EC	EC	52				
Jones, Inspector Athelney	32SE	SE	32				
Jones, Milson	20EC	EC	20				
Jones, Nathan	55SE	SE	55				
Jones, Pearl	78WC	WC	78				
Jones, Inspector Peter	3WC	WC	3			11	
Jordan & Co, Ltd	48S	S	48				
Jordan, Kent	40EC	EC	40				
Joslin, Edgar	79WC	WC	79				
Joyce, Dick	76E	E	76				
Judd, N	24SW	SW	24			2	
Judson, Glenn	80WC	WC	80				
Juergens, Robert	46NW	NW	46			8	
Juster, Tilly	80E	E	80				
Justi, Malcolm	86NW	NW	86				
Juvet, Frederick	53E	E	53				
Kaatz, Judith	56S	S	56				
Kabibble, Ish	59S	S	59				
Kackley, Helen	63E	E	63				
Kackley, Schuyler	58EC	EC	58				
Kadden, Frank	14SE	SE	14				
Kadie, Noreen	23WC	WC	23				
Kagawa, Suki	28SW	SW	28		Asian		
Kagran, Heinz	75SE	SE	75				
Kahn, Ludwig	14S	S	14		German		
Kalhorn, Dora	64E	E	64				
Kalinovsky, Igor	54EC	EC	54		Russian		
Kallen, Kathleen	6NW	NW	6				
Kallgren, Dorothy	54SW	SW	54				
Kalthoff, Eugene	62E	E	62				
Kanary, Guilda	35S	S	35				
Kane, Charles	32SE	SE	32				
Kaplan, Ruth	18E	E	18				
Kapps, Stuart	60E	E	60				
Karanoff, Fedor	80E	E	80		Russian		
Karns, Louella	96EC	EC	96				
Karr, Susan	81WC	WC	81				
Karth, Wilma	81SW	SW	81				
Kates, Richard	6EC	EC	6			6	
Kaufer, Ephraim	87NW	NW	87				
Kavanaugh, Dennis	55EC	EC	55				
Kay,Thomas	70SW	SW	70				
Kaye, Miles	8SW	SW	8		Bug? Same as Mycroft.		
Keane, Edmund	82WC	WC	82				
Kearney, Elizabeth	43NW	NW	43				
Kearney, Franklin	83WC	WC	83				
Kearns, Lucian	49S	S	49				
Keating, Diana	57WC	WC	57				
Keating, Olivia	82SW	SW	82				
Keck, Neville	86SE	SE	86				
Keckler, Duncan	25SW	SW	25				
Keefer, Andrew	97EC	EC	97				
Keeler & Co	43S	S	43				
Keen’s Chop House	37WC	WC	37				
Keenan, Mallory	31WC	WC	31			3	
Keene & Ashwell	87SW	SW	87				
Keerins, Timothy	3S	S	3				
Kehoe, Walter	18SE	SE	18			1	
Keller, Mike	43S	S	43				
Kelley, Marion	91NW	NW	91				
Kellogg, Cynthia	29EC	EC	29				
Kellogg, John	29EC	EC	29				
Kelly, Christine	49E	E	49				
Kemp, Wilson	47SE	SE	47				
Kempfield, Michael	48EC	EC	48			6	
Kempner, Rodney	26S	S	26				
Kenbar, Cicely	51SW	SW	51				
Kendall, Heloise	72SW	SW	72				
Kennedy, Colin	92NW	NW	92				
Kent House	7WC	WC	7				
Kentnor, Clarinda	26EC	EC	26			11	
Kepner, Oliver	56EC	EC	56				
Keswick Paper Hangers	80EC	EC	80				
Keyes, Francis	84WC	WC	84				
Keystone, Roger	29NW	NW	29				
Kibber & Klutz	60E	E	60				
Kibler, Jane	3E	E	3				
Kidd, Fritz	12E	E	12				
Kidwell, Gussie	55S	S	55				
Kiernan, Caesar	95EC	EC	95				
Kiker, Brian	76E	E	76				
Kilbourne, Michael	60EC	EC	60				
Kilduff, Marshall	6E	E	6				
Kilgore, Claude	21SE	SE	21			2	
Kimbel, Ned	18SE	SE	18				
Kincaid, Thomas	10E	E	10				
King, Richard	85WC	WC	85				
King’s College Hospital	71WC	WC	71				
Kirk, Ralston	20S	S	20				
Kirkwood, Burton	57EC	EC	57				
Kitts, Ann	81E	E	81				
Klee & Sons	23WC	WC	23				
Kleebauer, Tobias	61EC	EC	61		German		
Klein, Isadora	93NW	NW	93				
Klodd, Sara	77SE	SE	77				
Knaresborough House	30SE	SE	30				
Knowles, Tyler	2E	E	2				
Knox, Jack	49EC	EC	49				
Kong, Hop Yee	48SE	SE	48		Asian		
Kopec, Amos	15S	S	15				
Korbot, Rene	41EC	EC	41				
Kouloulias, Lavender	34S	S	34				
Kracht, Hensdorf	36NW	NW	36				
Krantz, Herbert	2NW	NW	2		Listed as 72WC under BARRISTERS (office)		
Kreider, Karen	28SW	SW	28				
Krishner, Harry	94EC	EC	94				
Krug, Jason	85SE	SE	85				
Kruller, Heinrich	47WC	WC	47		German		
Kurpinsky, Dimitri	51SE	SE	51		Russian		
La Beau, Emile	94NW	NW	94		French		
La Cour, Claude	4E	E	4		French		
La Rothiere, Louis	63SW	SW	63		French		
Lacay, Adrianne	35E	E	35				
Lacey, Booth	23SE	SE	23			8	
Lacrosse Association	2NW	NW	2				
Ladd, Nathan	58EC	EC	58				
Ladies Couriers	16NW	NW	16				
Ladies’ Own Tea Assoc	31NW	NW	31				
Lafferty, Edward	100SW	SW	100				
Lafferty, Howard	87WC	WC	87				
Lafford, Paul	17E	E	17				
Lai, Chi Sum	56SE	SE	56		Asian		
Laine, Robert	39EC	EC	39			8	
Laist, Guinevere	53SW	SW	53				
Lal, Rao	22SE	SE	22				
Lambert’s	88SW	SW	88		(Jewelers)		
Lambeth Police Station	53SE	SE	53				
Lampell, Peg	41E	E	41				
Lancaster, Errol	29SW	SW	29				
Landau, Andre	88WC	WC	88			11	
Landmark Ltd	67SE	SE	67				
Landry, Joseph	89WC	WC	89				
Lane, Richard	8NW	NW	8			6	
Langdon, Jeremy	27EC	EC	27				
Langham Hotel	36NW	NW	36				
Langlois, Paul	92EC	EC	92				
Lanner, Inspector	43NW	NW	43				
Lanthorn, V	74SW	SW	74				
Lappin, Regina	80SW	SW	80				
Lariman & Son	44E	E	44				
Larkin, Elizabeth	86WC	WC	86				
Larkin, Hyde	29NW	NW	29				
Larsen, Karen	89E	E	89				
Larsen, Neils	21SW	SW	21		Nordic		
Lassus, Roland de	59EC	EC	59				
Latham, Walter	48NW	NW	48			13	
Latimer, Harold	11WC	WC	11				
Lattimer’s Bootery	77NW	NW	77				
Laud, A. B.	30SW	SW	30				
Lavelle, Laura	24WC	WC	24				
Law Society Library	78WC	WC	78				
Lawford, Nathan	82E	E	82				
Lawn Tennis Association	74EC	EC	74				
Lawrence, Joseph	62EC	EC	62				
Lazzari & Sons	42E	E	42				
Le Boff, Chretien	96EC	EC	96				
Leach, Calvin	16SE	SE	16			2,13	
League of Red-Headed Men	44WC	WC	44				
Leahy, Dennis	6S	S	6				
Leander, Clinton	83NW	NW	83				
Leath & Ross	85SE	SE	85				
Lee, John	90WC	WC	90				
Lee, Michael	18EC	EC	18				
Leeds, Kevin	56S	S	56				
Leeds, Sir Sanford	30SW	SW	30			2	
Leedy, Christopher	20E	E	20				
Lefcourt, Victor	87E	E	87				
Leggins, Virgil	90EC	EC	90				
Lehrman & Sons	16S	S	16				
Leib, Harry	27S	S	27				
Leibendorf, Arnold	19S	S	19				
Leiberman, Dinah	36S	S	36				
Lejonc, Martine	42E	E	42				
Lekas, George	86E	E	86				
Leland, Wendell	56SE	SE	56				
Lenhart, Baldwin	13NW	NW	13				
Lennox, Tod	51E	E	51				
Leopold, Hilda	84WC	WC	84				
LePage, Beverly	49SE	SE	49				
Lerner & Lehoe	6S	S	6				
Leroy, Melvern	88E	E	88				
Lester, Guy	42SE	SE	42				
Lester, Mercy	39SW	SW	39				
Lestrade, Inspector	60EC	EC	60				
Leuker, Mark	89SE	SE	89				
Levasseur, Lancelot	20NW	NW	20				
Levin, Saul	6S	S	6				
Levine, David	18S	S	18				
Levy, Jacob	79SE	SE	79				
Lewin, Bradford	27SW	SW	27			2	
Lewin, Hubert	53NW	NW	53				
Lewis, Evangeline	94NW	NW	94				
Lewis, Sir George	63NW	NW	63				
Lexington, Mrs	36SE	SE	36				
Liberty & Co	91NW	NW	91		(Department stores)		
Central News Agency	63EC	EC	63	LIBRARIES			
Colonial Institute	86SW	SW	86	LIBRARIES			
Guildhall Free Library	39EC	EC	39	LIBRARIES			
Law Society Library	78WC	WC	78	LIBRARIES			
London Library	5SW	SW	5	LIBRARIES			
Mudie’s Select Library	36WC	WC	36	LIBRARIES			
Life Saving Society	44WC	WC	44				
Limehouse	96E	E	96				
Lincoln, Leslie	30NW	NW	30				
Lincoln’s Inn	13WC	WC	13				
Lind, Jeffrey	58SE	SE	58				
Lindsay & Co	17NW	NW	17				
Lindsay, Kathleen	19WC	WC	19			7	
Lindstrom, Brent	31SW	SW	31				
Linhart, William	61EC	EC	61			1	
Lipton, Stovall	63SE	SE	63				
Litchfield, David	68SE	SE	68				
Litchfield, Pamela	67EC	EC	67				
Little Newspaper Shop	93WC	WC	93				
Littlejohn, Clare	22NW	NW	22				
Litton & Truest	29S	S	29				
Liverpool, Dublin & London Steam Packet	55E	E	55				
Liverpool Street Station	9EC	EC	9				
Livingston, Cedric	50SW	SW	50		"Cedrick" in the case text.	9	
Livingston, E. S.	53WC	WC	53				
Lloyd’s Shipping Register	17EC	EC	17				
Locke, Gerald	34WC	WC	34			2	
Logan, Marjorie	49NW	NW	49				
Logan, Winston	92WC	WC	92				
Lomax	5SW	SW	5				
London & Globe Insurance	79SW	SW	79				
London Bridge Station	4SE	SE	4				
London Docks	94E	E	94				
London Homeopathic	9WC	WC	9				
London Hospital	92E	E	92				
London Public Library	5SW	SW	5				
London Rowing Club	66EC	EC	66				
London University College	43WC	WC	43				
Long, James	89EC	EC	89				
Lorenzo, Amelia	26EC	EC	26			7	
Loughran & Co	85EC	EC	85		London Directory and Case 5 in the blue box says "Loughram"		
Loveless, Clifton	4NW	NW	4			7	
Lowery, Mattie	11EC	EC	11				
Lubov, Gregor	88E	E	88				
Lucas, David	93WC	WC	93				
Lucas, Eduardo	51EC	EC	51				
Lucca, Emilla	9WC	WC	9				
Luker, Horace	65SW	SW	65				
Lunsford, Millie	86EC	EC	86				
Lutz, Christine	5E	E	5				
Lutz, Reinhart	23SE	SE	23		German	7	
Lyceum Theatre	18WC	WC	18		Bug? Listed as 4SW under THEATRES. (Map shows 18WC)		
Lydell’s Bakery	34WC	WC	34				
Lynch, Sir Charles	100SW	SW	100				
Lynch, Sir Frawly	88EC	EC	88				
Lynch, Lady Joan	88EC	EC	88				
Lyons, Michele	2EC	EC	2				
Lytton, B. F.	75SW	SW	75				
Maas, Peter	62EC	EC	62				
Mabry, Lincoln	14SE	SE	14				
MacArthur, Malcolm	69SE	SE	69				
MacDonald, Inspector	1NW	NW	1				
MacDowell, Bruce	16WC	WC	16				
MacKinnon, Inspector	5EC	EC	5				
Madame Charpentier	59SE	SE	59				
Madame Lesurier	69NW	NW	69				
Madame Tussaud’s	46NW	NW	46				
Maddox, Clifton	34EC	EC	34			10	
Madison, Calvert	86NW	NW	86				
Madison, Debra	86NW	NW	86				
Madkins, Cal	52E	E	52				
Magill, Finn	58E	E	58				
Magrane, Jan	84E	E	84				
Maguire, Molly	43SE	SE	43				
Mainhart, Richard	51EC	EC	51			1,9	
Mairs, Maureen	67E	E	67				
Malik, Otto	87EC	EC	87				
Malmquist, Sir Adrian	64SE	SE	64				
Malott, Beatrice	58SW	SW	58				
Maltby, William	34WC	WC	34				
Maltzer, Kirsten	78E	E	78				
Mancuso, Guilio	44SE	SE	44		Italian		
Mander, Gerry	93NW	NW	93				
Mann, Chester	24NW	NW	24				
Manning, Lyman	46SW	SW	46				
Manton, Emeline	39EC	EC	39				
Bacon & Co	20WC	WC	20	MAP SELLERS	Bug? Supposed to be an investment house in case 6...		
C. Smith & Sons	67EC	EC	67	MAP SELLERS			
Stamford’s Geological	29WC	WC	29	MAP SELLERS	"Stamford’s Geological Est"		
Mappin, W	87NW	NW	87				
Marbles, Hartley	91NW	NW	91				
Marchant, Oscar	42SW	SW	42				
Mariano, Anthony	39EC	EC	39			1	
Mariner’s House	41S	S	41				
Marrionneaux, Ursala	26NW	NW	26				
Marlett, Steven	86SE	SE	86				
Marlowe, Phillip	32NW	NW	32			1	
Marsh, August	86NW	NW	86				
Marshall & Snelgrove	33NW	NW	33		Corrected from "Marshall & Snellgrove"		
Marshall, Grenville	39WC	WC	39				
Marshall, J	29WC	WC	29				
Martin Hewett Det. Agency	77SE	SE	77				
Marx, Carl	70SE	SE	70				
Marylebone Cricket Club	48NW	NW	48				
Marylebone Workhouse	45NW	NW	45				
Maryward House	22E	E	22				
Mason, Cecil	50SW	SW	50		Listed as 92EC under BARRISTERS (office)	6	
Mason, Dr. Jerrold	12NW	NW	12		Listed as 29WC under DOCTORS (office)	2	
Mason, Oswald	42WC	WC	42			6	
Maude, Cyril	6SE	SE	6			7	
Mayall & Co	9WC	WC	9		Listed as "Mayall’s" under FLORISTS.		
McAlister, Ed	72SE	SE	72				
McNight, Shirley	6EC	EC	6				
McNulty, William	63EC	EC	63				
Medical Examiner	38EC	EC	38				
Meeks, Sir Jasper	38EC	EC	38				
Melbin, Ruth	59EC	EC	59				
Melnikoff, Leonid	79E	E	79				
Melquist, Chauncy	69EC	EC	69				
Mendenhall, Morris	76EC	EC	76				
Mendosa, Santos	76SW	SW	76				
Meneken, Gilbert	70E	E	70				
Mercer	38SE	SE	38		?		
Merivale, Inspector	4E	E	4				
Meriwether, Talia	55EC	EC	55				
Merkle, Maybelle	43S	S	43				
Merlo, Robert	32WC	WC	32				
Merrell, Frederick	85NW	NW	85				
Merriman, John	2EC	EC	2				
Merriman, Ross	40WC	WC	40				
Merritt, Michael	84NW	NW	84				
Merrow, Charles	73SE	SE	73				
Merton, Willie	32S	S	32				
Mescher, Frieda	61SE	SE	61		German		
Meshkoff, Alexi	34SW	SW	34		Russian	1	
Metcalf, Abby	88WC	WC	88				
Metcalf, Aubrey	44SW	SW	44			9	
Metropole Hotel	27WC	WC	27				
Metropolitan Hotel	10EC	EC	10				
Mettier, Yves	8EC	EC	8			7	
Mews, Jay	73SE	SE	73				
Mexborough Private Hotel	76EC	EC	76				
Meyer, Calvin	53S	S	53				
Middle Temple	33EC	EC	33				
Middlesex Hospital	10NW	NW	10				
Middleton, Dennis	96WC	WC	96				
Midland Grand Hotel	16SE	SE	16				
Migdale, Bess	18EC	EC	18				
Milburn, Randolph	50NW	NW	50				
Milford, Jessica	44S	S	44				
Military Prison	9SE	SE	9				
Millbank Prison	23SW	SW	23				
Miller, Blair	32SE	SE	32				
Miller, Elena	7EC	EC	7				
Miller, Susan	32SE	SE	32				
Millotsky, Gregor	49EC	EC	49				
Mills, D	40WC	WC	40				
Mills, Leo	86SE	SE	86				
Miss L. E. Elivin	31SE	SE	31				
Mitchell, Marcella	27NW	NW	27				
Mobley, Anne	81NW	NW	81				
Mobley, Dennis	81NW	NW	81				
Mobley, John	56WC	WC	56				
Mockbee, Cyrus	54SW	SW	54				
Moffitt & Moffitt	83E	E	83				
Mohler, John	83E	E	83				
Molloy, Patrick	1E	E	1				
Moncrief, Shelley	11S	S	11				
Monfredini, Angelica	46S	S	46				
Monks, Goddard	85E	E	85				
Monroe, John	43SW	SW	43			9	
Monroe, Virginia	43SW	SW	43			9	
Monson, Chester	78E	E	78				
Montague, Chretien	86E	E	86				
Montgomery, Inspector	19S	S	19				
Montgomery, Willis	87E	E	87				
Moody, Burt	86E	E	86				
Moore & Burgess	96WC	WC	96				
Moorehead, Dory	44NW	NW	44				
Morford, Antonia	66E	E	66				
Morgan & Co	68NW	NW	68				
Morgan, Melissa	5S	S	5				
Morningstar, Mary	4SW	SW	4				
Morris, William	3EC	EC	3		Listed as 68NW under SOLICITORS (office)		
Morrissey & Cassidy	44S	S	44				
Mortimer House	54NW	NW	54				
Mortimer’s	95WC	WC	95				
Mortis, Rigor	4EC	EC	4				
Mortlock & Sons	86NW	NW	86				
Moser’s Detective Agency	18WC	WC	18				
Moultre & Sons	18WC	WC	18				
Mozzetti, Enrico	20E	E	20				
Mrs. Cory’s	25SE	SE	25				
Mrs. Hawgood’s	7EC	EC	7				
Mrs. Jetley’s	7SE	SE	7				
Mrs. Robertson’s	78NW	NW	78				
Mrs. Warren’s	76WC	WC	76		(Boarding house)		
Mudge, Uriah	59SW	SW	59				
Mudie’s Select Library	36WC	WC	36				
Mueller, Johanna	80NW	NW	80				
Mueller, Otto	80NW	NW	80		German		
Muldoon, Katie	9S	S	9				
Mulgrave, Matthew	77EC	EC	77				
Mummer & Baskin	18E	E	18				
Munding, Lorinda	65E	E	65				
Mundy, Edward	2S	S	2				
Murray, H. R.	22SW	SW	22				
Murray, Mortimer	43WC	WC	43			10	
Murthwaite, Leonard	28SW	SW	28				
Musgrove, Lord Gordon	79NW	NW	79				
Alhambra Music Hall	25WC	WC	25	MUSIC HALLS			
Oxford Music Hall	13NW	NW	13	MUSIC HALLS			
Pavilion Music Hall	20NW	NW	20	MUSIC HALLS			
St. James Hall	22NW	NW	22	MUSIC HALLS			
Tivoli Music Hall	23WC	WC	23	MUSIC HALLS			
Myster, Hans	87SE	SE	87				
Nadeau, Pierre	77SW	SW	77		French		
Nag’s Head	48E	E	48				
Nagy, John	57WC	WC	57				
Nance, Ezra	82WC	WC	82				
Nance, George	8EC	EC	8				
Nance, Yvonne	32NW	NW	32				
Naris, Moss	36E	E	36				
Nash, Eugene	78NW	NW	78				
Nash, John	38SE	SE	38				
Nast, Flavius	51WC	WC	51		Listed as 29EC under BARRISTERS (office)		
National Fur Store	64WC	WC	64				
National Gallery	24WC	WC	24				
Naughton & Son	35S	S	35				
Nava, Fernando	16E	E	16				
Navarro, Hector	77NW	NW	77				
Naven, Lionel	87SE	SE	87				
Navsky, Roelof	74E	E	74				
Neber, Manfred	75E	E	75		German		
Nedham, Ltd	67E	E	67				
Needham, Sir Vincent	10EC	EC	10				
Neff, Francine	17S	S	17				
Negley, George	45SE	SE	45				
Negretti & Zambra	35SE	SE	35				
Nelander & Crass	81EC	EC	81				
Nelder, Anna	3EC	EC	3				
Nelkin, Sid	53E	E	53				
Nelson, Lola	31EC	EC	31				
Nelson, Wayne	24NW	NW	24				
Nerden, Patricia	10E	E	10				
Nervo, Rodrigo	89E	E	89				
Nesbitt, Edward	12SE	SE	12				
Nestor, Clyde M	11EC	EC	11				
Nethercott & Stims	76E	E	76				
Nettleship Bros	61SE	SE	61				
